Time	Sample ID	Site ID	Site	Tx	TimeSiteTx	PctC
0	1.1.rep	1.1.1	1	1	011	37.479
0		1.1.2	1	1	011	37.114
0		1.1.3	1	1	011	37.257
0	1.2.rep	1.2.5	1	2	012	38.612
0		1.2.8	1	2	012	43.002
0		1.2.12	1	2	012	42.730
0	1.3.rep	1.3.6	1	3	013	43.225
0		1.3.7	1	3	013	38.987
0		1.3.10	1	3	013	44.401
0	2.1.rep	2.1.4	2	1	021	34.984
0		2.1.7	2	1	021	40.172
0		2.1.8	2	1	021	39.752
0	2.2.rep	2.2.3	2	2	022	41.255
0		2.2.6	2	2	022	43.312
0		2.2.10	2	2	022	32.061
0		2.2.11	2	2	022	43.591
0	2.3.rep	2.3.1	2	3	023	41.161
0		2.3.13	2	3	023	39.596
0		2.3.14	2	3	023	37.065
0	3.1.rep	3.1.4	3	1	031	34.422
0		3.1.9	3	1	031	46.144
0		3.1.10	3	1	031	39.334
0	3.2.rep	3.2.2	3	2	032	43.642
0		3.2.3	3	2	032	42.272
0		3.2.9	3	2	032	44.041
0	3.3.rep	3.3.8	3	3	033	36.600
0		3.3.10	3	3	033	43.803
0		3.3.11	3	3	033	43.547
1	1.1.rep	1.1.6	1	1	111	35.466
1		1.1.9	1	1	111	42.064
1		1.1.8	1	1	111	31.176
1		1.1.10	1	1	111	34.076
1		1.1.12	1	1	111	26.155
1	1.2.rep	1.2.11	1	2	112	44.459
1		1.2.9	1	2	112	51.964
1		1.2.10	1	2	112	43.700
1	1.3.rep	1.3.8	1	3	113	47.305
1		1.3.9	1	3	113	43.288
1		1.3.11	1	3	113	44.505
1		1.3.5	1	3	113	45.916
1		1.3.111	1	3	113	30.404
1	2.1.rep	2.1.5	2	1	121	29.332
1		2.1.1	2	1	121	32.814
1	2.2.rep	2.2.4	2	2	122	41.177
1		2.2.7	2	2	122	34.591
1		2.2.5	2	2	122	32.805
1	2.3.rep	2.3.4	2	3	123	46.047
1		2.3.5	2	3	123	43.378
1		2.3.6	2	3	123	31.311
1		2.3.11	2	3	123	43.864
1		2.3.2	2	3	123	33.302
1	3.1.rep	3.1.1	3	1	131	32.144
1		3.1.3	3	1	131	28.183
1		3.1.5	3	1	131	37.683
1		3.1.11	3	1	131	33.028
1		3.1.8	3	1	131	34.263
1	3.2.rep	3.2.8	3	2	132	41.282
1		3.2.5	3	2	132	42.380
1		3.2.7	3	2	132	41.688
1	3.3.rep	3.3.6	3	3	133	36.769
1		3.3.4	3	3	133	35.453
1		3.3.12	3	3	133	40.584
1		3.3.7	3	3	133	29.281
1		3.3.3	3	3	133	45.900